Player Name,Team,Status,Runs,Balls Faced,Wickets,Runs Given,Strike Rate,Economy
Kane Williamson,SRH,Batsman,0,NA,NA,NA,0,NA
Jason Roy,SRH,Batsman,0,NA,NA,NA,0,NA
Umran Malik,SRH,Bowler,0,0,0,0,0,0
Abhishek Sharma,SRH,All-rounder,0,0,0,0,0,0
Rashid Khan,SRH,Bowler,0,0,0,0,0,0
Manish Pandey,SRH,Batsman,0,NA,NA,NA,0,NA
T.Natarajan,SRH,Bowler,0,0,0,0,0,0
Bhuvneshwar Kumar,SRH,Bowler,0,0,0,0,0,0
Priyam Garg,SRH,Batsman,0,NA,NA,NA,0,NA
Abdul Samad,SRH,Batsman,0,NA,NA,NA,0,NA
Jason Holder,SRH,All-rounder,0,0,0,0,0,0
Rohit Sharma,MI,Batsman,0,NA,NA,NA,0,NA
Suryakumar Yadav,MI,Batsman,0,NA,NA,NA,0,NA
Jasprit Bumrah,MI,Bowler,0,0,0,0,0,0
Hardik Pandya,MI,All-rounder,0,0,0,0,0,0
Kieron Pollard,MI,All-rounder,0,0,0,0,0,0
Ishan Kishan,MI,Batsman,0,NA,NA,NA,0,NA
James Neesham,MI,All-rounder,0,0,0,0,0,0
Nathan Coulter-Nile,MI,Bowler,0,0,0,0,0,0
Saurabh Tiwary,MI,Batsman,0,NA,NA,NA,0,NA
Krunal Pandya,MI,All-rounder,0,0,0,0,0,0
Quinton de Kock,MI,Batsman,0,NA,NA,NA,0,NA
Shubman Gill,KKR,Batsman,0,NA,NA,NA,0,NA
Eoin Morgan,KKR,Batsman,0,NA,NA,NA,0,NA
Kuldeep Yadav,KKR,Bowler,0,0,0,0,0,0
Andre Russell,KKR,All-rounder,0,0,0,0,0,0
Venkatesh Iyer,KKR,All-rounder,0,0,0,0,0,0
Dinesh Karthik,KKR,Batsman,0,NA,NA,NA,0,NA
Shakib Al Hasan,KKR,All-rounder,0,0,0,0,0,0
Tim Southee,KKR,Bowler,0,0,0,0,0,0
Sunil Narine,KKR,All-rounder,0,0,0,0,0,0
Pat Cummins,KKR,Bowler,0,0,0,0,0,0
Rahul Tripathi,KKR,Batsman,0,NA,NA,NA,0,NA
MS Dhoni,CSK,Batsman,0,NA,NA,NA,0,NA
Faf du Plessis,CSK,Batsman,0,NA,NA,NA,0,NA
Ravindra Jadeja,CSK,All-rounder,0,0,0,0,0,0
Sam Curran,CSK,All-rounder,0,0,0,0,0,0
Moeen Ali,CSK,All-rounder,0,0,0,0,0,0
Dwayne Bravo,CSK,All-rounder,0,0,0,0,0,0
Ruturaj Gaikwad,CSK,Batsman,0,NA,NA,NA,0,NA
Deepak Chahar,CSK,Bowler,0,0,0,0,0,0
Ambati Rayudu,CSK,Batsman,0,NA,NA,NA,0,NA
Josh Hazelwood,CSK,Bowler,0,0,0,0,0,0
